"term","estimate","std.error","statistic","p.value","odds_ratio","p_value","significant"
"internet_serviceFiber optic",0.99192745215067,0.0774659240544734,12.804693989749,1.54333005108082e-37,2.696,"1.54e-37","✅"
"contractTwo year",-1.77881992912256,0.179315727208735,-9.92004414120294,3.40605510486009e-23,0.169,"3.41e-23","✅"
"tenure_group60+ months",-1.6525968767555,0.160492375541476,-10.2970429042495,7.26606026955325e-25,0.192,"7.27e-25","✅"
"tenure_group49-60 months",-1.3895640635605,0.134350861522564,-10.3427997990703,4.51160257830061e-25,0.249,"4.51e-25","✅"
"tenure_group25-36 months",-1.22530648944298,0.111323510273797,-11.0067180457154,3.54689924125958e-28,0.294,"3.55e-28","✅"
"tenure_group37-48 months",-1.1563253348678,0.124356728620426,-9.29845411418994,1.42502418384636e-20,0.315,"1.43e-20","✅"
"tenure_group13-24 months",-0.869953443378379,0.0942391756923952,-9.2313354503225,2.67278460792283e-20,0.419,"2.67e-20","✅"
"contractOne year",-0.814272808870335,0.10579056885124,-7.69702647137991,1.39269053908856e-14,0.443,"1.39e-14","✅"
"internet_serviceNo",-0.732759204624385,0.154964149704917,-4.72857242155495,2.26103976826461e-06,0.481,"2.26e-06","✅"
"payment_methodElectronic check",0.417236537393533,0.0927271083459856,4.49961769363852,6.80757813969744e-06,1.518,"6.81e-06","✅"
"paperless_billingYes",0.395648021546683,0.0733047051677811,5.39730731664654,6.76484607049965e-08,1.485,"6.76e-08","✅"
"senior_citizenYes",0.311982096723558,0.0815298500633672,3.82659966234547,0.000129925560364975,1.366,"1.30e-04","✅"
"payment_methodCredit card (automatic)",-0.0719057352334996,0.112222411368307,-0.640743095401056,0.52168960974265,0.931,"5.22e-01","❌"
"payment_methodMailed check",-0.0297538480892045,0.112568048976065,-0.264318768601302,0.791534299149356,0.971,"7.92e-01","❌"
"num_services",-0.0239816443711077,0.0264128009520361,-0.90795536659125,0.363901803557212,0.976,"3.64e-01","❌"
